train_acc,train_loss,val_acc,val_loss
0.71304,0.93722355,0.849240506329114,0.44831625
0.85212,0.4222591,0.865506329113924,0.38264638
0.87043,0.36301923,0.876392405063291,0.34585032
0.8781500000000001,0.33115363,0.8745569620253165,0.3468478
0.88521,0.30836412,0.8832911392405064,0.32663307
0.89013,0.29034042,0.8850632911392403,0.31341252
0.89498,0.27582446,0.8868987341772152,0.3112767
0.8986000000000002,0.26275146,0.8905696202531647,0.3061324
0.90283,0.249076,0.8889240506329114,0.31155652
0.90536,0.23897995,0.8835443037974683,0.33072215
